"Time","bio gurken"
"2021-03-01",38
"2021-04-01",77
"2021-05-01",70
"2021-06-01",52
"2021-07-01",72
"2021-08-01",52
"2021-09-01",0
"2021-10-01",0
"2021-11-01",0
"2021-12-01",0
"2022-01-01",49
"2022-02-01",0
"2022-03-01",67
"2022-04-01",68
"2022-05-01",76
"2022-06-01",62
"2022-07-01",70
"2022-08-01",70
"2022-09-01",0
"2022-10-01",37
"2022-11-01",0
"2022-12-01",0
"2023-01-01",56
"2023-02-01",54
"2023-03-01",44
"2023-04-01",56
"2023-05-01",73
"2023-06-01",68
"2023-07-01",83
"2023-08-01",39
"2023-09-01",0
"2023-10-01",0
"2023-11-01",0
"2023-12-01",0
"2024-01-01",0
"2024-02-01",44
"2024-03-01",66
"2024-04-01",52
"2024-05-01",69
"2024-06-01",64
"2024-07-01",77
"2024-08-01",0
"2024-09-01",0
"2024-10-01",0
"2024-11-01",49
"2024-12-01",0
"2025-01-01",47
"2025-02-01",50
"2025-03-01",53
"2025-04-01",72
"2025-05-01",54
"2025-06-01",47
"2025-07-01",100
"2025-08-01",46
"2025-09-01",0
"2025-10-01",0
"2025-11-01",0
"2025-12-01",41
"2026-01-01",40
"2026-02-01",70
"2026-03-01",39