"Time","alnatura"
"2021-02-01",97
"2021-03-01",89
"2021-04-01",89
"2021-05-01",73
"2021-06-01",58
"2021-07-01",66
"2021-08-01",62
"2021-09-01",68
"2021-10-01",69
"2021-11-01",76
"2021-12-01",80
"2022-01-01",82
"2022-02-01",78
"2022-03-01",75
"2022-04-01",83
"2022-05-01",64
"2022-06-01",58
"2022-07-01",65
"2022-08-01",61
"2022-09-01",61
"2022-10-01",67
"2022-11-01",73
"2022-12-01",71
"2023-01-01",71
"2023-02-01",70
"2023-03-01",74
"2023-04-01",63
"2023-05-01",60
"2023-06-01",57
"2023-07-01",64
"2023-08-01",70
"2023-09-01",70
"2023-10-01",68
"2023-11-01",79
"2023-12-01",74
"2024-01-01",77
"2024-02-01",74
"2024-03-01",84
"2024-04-01",74
"2024-05-01",68
"2024-06-01",68
"2024-07-01",73
"2024-08-01",69
"2024-09-01",63
"2024-10-01",82
"2024-11-01",80
"2024-12-01",88
"2025-01-01",82
"2025-02-01",84
"2025-03-01",79
"2025-04-01",78
"2025-05-01",81
"2025-06-01",67
"2025-07-01",74
"2025-08-01",77
"2025-09-01",72
"2025-10-01",85
"2025-11-01",81
"2025-12-01",91
"2026-01-01",85
"2026-02-01",100