"Time","bauernmarkt"
"2021-02-01",14
"2021-03-01",18
"2021-04-01",21
"2021-05-01",22
"2021-06-01",26
"2021-07-01",31
"2021-08-01",36
"2021-09-01",59
"2021-10-01",62
"2021-11-01",22
"2021-12-01",21
"2022-01-01",15
"2022-02-01",15
"2022-03-01",25
"2022-04-01",42
"2022-05-01",40
"2022-06-01",36
"2022-07-01",31
"2022-08-01",41
"2022-09-01",94
"2022-10-01",83
"2022-11-01",23
"2022-12-01",19
"2023-01-01",17
"2023-02-01",20
"2023-03-01",34
"2023-04-01",38
"2023-05-01",46
"2023-06-01",35
"2023-07-01",30
"2023-08-01",45
"2023-09-01",100
"2023-10-01",79
"2023-11-01",21
"2023-12-01",19
"2024-01-01",25
"2024-02-01",22
"2024-03-01",37
"2024-04-01",36
"2024-05-01",39
"2024-06-01",29
"2024-07-01",29
"2024-08-01",42
"2024-09-01",87
"2024-10-01",68
"2024-11-01",19
"2024-12-01",18
"2025-01-01",16
"2025-02-01",20
"2025-03-01",29
"2025-04-01",33
"2025-05-01",34
"2025-06-01",26
"2025-07-01",25
"2025-08-01",40
"2025-09-01",86
"2025-10-01",71
"2025-11-01",20
"2025-12-01",18
"2026-01-01",16
"2026-02-01",17