"Time","bio supermarkt"
"2021-02-01",95
"2021-03-01",85
"2021-04-01",95
"2021-05-01",85
"2021-06-01",63
"2021-07-01",80
"2021-08-01",79
"2021-09-01",68
"2021-10-01",79
"2021-11-01",95
"2021-12-01",100
"2022-01-01",75
"2022-02-01",73
"2022-03-01",70
"2022-04-01",74
"2022-05-01",66
"2022-06-01",55
"2022-07-01",68
"2022-08-01",70
"2022-09-01",65
"2022-10-01",73
"2022-11-01",68
"2022-12-01",85
"2023-01-01",63
"2023-02-01",67
"2023-03-01",55
"2023-04-01",70
"2023-05-01",65
"2023-06-01",61
"2023-07-01",53
"2023-08-01",78
"2023-09-01",58
"2023-10-01",60
"2023-11-01",62
"2023-12-01",76
"2024-01-01",66
"2024-02-01",56
"2024-03-01",56
"2024-04-01",70
"2024-05-01",61
"2024-06-01",65
"2024-07-01",57
"2024-08-01",67
"2024-09-01",59
"2024-10-01",70
"2024-11-01",68
"2024-12-01",69
"2025-01-01",67
"2025-02-01",65
"2025-03-01",61
"2025-04-01",71
"2025-05-01",65
"2025-06-01",60
"2025-07-01",60
"2025-08-01",69
"2025-09-01",63
"2025-10-01",67
"2025-11-01",64
"2025-12-01",76
"2026-01-01",69
"2026-02-01",64