"Time","rewe bio"
"2021-02-01",49
"2021-03-01",46
"2021-04-01",45
"2021-05-01",39
"2021-06-01",31
"2021-07-01",36
"2021-08-01",36
"2021-09-01",36
"2021-10-01",48
"2021-11-01",49
"2021-12-01",45
"2022-01-01",54
"2022-02-01",52
"2022-03-01",51
"2022-04-01",46
"2022-05-01",42
"2022-06-01",41
"2022-07-01",41
"2022-08-01",44
"2022-09-01",42
"2022-10-01",43
"2022-11-01",50
"2022-12-01",49
"2023-01-01",49
"2023-02-01",49
"2023-03-01",51
"2023-04-01",46
"2023-05-01",44
"2023-06-01",44
"2023-07-01",44
"2023-08-01",49
"2023-09-01",47
"2023-10-01",50
"2023-11-01",50
"2023-12-01",56
"2024-01-01",60
"2024-02-01",66
"2024-03-01",65
"2024-04-01",62
"2024-05-01",66
"2024-06-01",57
"2024-07-01",58
"2024-08-01",62
"2024-09-01",60
"2024-10-01",66
"2024-11-01",73
"2024-12-01",74
"2025-01-01",86
"2025-02-01",86
"2025-03-01",80
"2025-04-01",77
"2025-05-01",77
"2025-06-01",75
"2025-07-01",78
"2025-08-01",82
"2025-09-01",82
"2025-10-01",91
"2025-11-01",100
"2025-12-01",87
"2026-01-01",96
"2026-02-01",97