"Time","wochenmarkt"
"2021-02-01",65
"2021-03-01",75
"2021-04-01",75
"2021-05-01",92
"2021-06-01",69
"2021-07-01",100
"2021-08-01",92
"2021-09-01",83
"2021-10-01",81
"2021-11-01",68
"2021-12-01",63
"2022-01-01",58
"2022-02-01",55
"2022-03-01",62
"2022-04-01",71
"2022-05-01",67
"2022-06-01",77
"2022-07-01",72
"2022-08-01",85
"2022-09-01",73
"2022-10-01",69
"2022-11-01",56
"2022-12-01",58
"2023-01-01",46
"2023-02-01",52
"2023-03-01",76
"2023-04-01",88
"2023-05-01",75
"2023-06-01",72
"2023-07-01",69
"2023-08-01",90
"2023-09-01",84
"2023-10-01",71
"2023-11-01",53
"2023-12-01",47
"2024-01-01",47
"2024-02-01",62
"2024-03-01",72
"2024-04-01",65
"2024-05-01",73
"2024-06-01",69
"2024-07-01",65
"2024-08-01",86
"2024-09-01",70
"2024-10-01",64
"2024-11-01",45
"2024-12-01",46
"2025-01-01",51
"2025-02-01",51
"2025-03-01",72
"2025-04-01",76
"2025-05-01",67
"2025-06-01",65
"2025-07-01",57
"2025-08-01",75
"2025-09-01",71
"2025-10-01",64
"2025-11-01",61
"2025-12-01",60
"2026-01-01",43
"2026-02-01",35